InChIKey,SMILES
JGUYBMKIKPABSY-UHFFFAOYSA-N,CCCC(=O)c1ccc(Cl)cc1-c1ccc(Br)cc1
AMHOPTNGSNYSBL-UHFFFAOYSA-N,CCC(=O)C1CCCCC1
UYMHLXHLPQIDMA-UHFFFAOYSA-N,CCCC(=O)C1CCCCC1
LKENTYLPIUIMFG-UHFFFAOYSA-N,CC(=O)C1CCCC1
YRNDGUSDBCARGC-UHFFFAOYSA-N,COCC(=O)c1ccccc1
QHTSEJJUUBOESF-UHFFFAOYSA-N,CCC(=O)c1ccc([N+](=O)[O-])cc1
PIMNFNXBTGPCIL-UHFFFAOYSA-N,CC(=O)c1ccccc1Br
SYWQQEVHZPPLNQ-UHFFFAOYSA-N,O=C(CCCl)c1ccc(Br)cc1
DKVCHMQHUMLKPO-UHFFFAOYSA-N,CCC(=O)c1cc(OC)ccc1OC
NVAHZHOCRQCUBY-UHFFFAOYSA-N,CCOC(=O)C(C)(C)C(C)=O
FTGZMZBYOHMEPS-UHFFFAOYSA-N,CC1(C)CCCC1=O
TZHZMYGNHVTEFA-MRVPVSSYSA-N,COC(=O)[C@]1(C)CCCC1=O
KNSPBSQWRKKAPI-UHFFFAOYSA-N,CC1(C)CCCCC1=O
QRYJGVNQNLCGGZ-UHFFFAOYSA-N,O=C1CCCC12CCCC2
XVKCCRCIQKVMPK-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)C
HJPJVTHMENRJQA-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)c1ccccc1
TYGJBMAZCWFZFC-UHFFFAOYSA-N,C=CCC(C)(C)C(=O)C#CCCCCCCCC
QRJXIADOTSHIRY-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)CCC
MMUXSGDQWCOFKS-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(CC)CCC
ZKJADHMQUMUECR-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(CC)(CC)CCC
BWHOZHOGCMHOBV-BQYQJAHWSA-N,CC(=O)/C=C/c1ccccc1
FWFSEYBSWVRWGL-UHFFFAOYSA-N,O=C1C=CCCC1
XRGPFNGLRSIPSA-UHFFFAOYSA-N,C#CC(C)=O
SCDHTAAYEHJTGD-UHFFFAOYSA-N,CC(C)C(=O)C#CC1CCCCC1
MSRORZBOBVAASL-UHFFFAOYSA-N,CC(C)(C)C(=O)C#CC1CCCCC1
HXAOUYGZEOZTJO-UHFFFAOYSA-N,O=C(CCCCl)c1ccc(F)cc1
VQCWOGKZDGCRES-UHFFFAOYSA-N,O=C(c1cccc2ccccc12)C(F)(F)F
JWQLBVFFLIHXHA-UHFFFAOYSA-N,O=C(c1ccc2ccccc2c1)C(F)(F)F
MNCMBBIFTVWHIP-UHFFFAOYSA-N,O=C(c1c2ccccc2cc2ccccc12)C(F)(F)F
VUBUXALTYMBEQO-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)C(F)(F)F
UKYZDGAVBNKBPQ-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
NDQOKFMZSIKVBG-UHFFFAOYSA-N,CCCCCCCC(=O)C(F)(F)F
OQHGRUHRHLFMBX-UHFFFAOYSA-N,CCCCCCCCC(=O)C(F)(F)F
RPTSLLGEWZGTHJ-UHFFFAOYSA-N,O=C(C1CCCCC1)C(F)(F)F
QXGIWMOPVOXYCX-UHFFFAOYSA-N,CC(C)(C)C(=O)C#Cc1ccccc1
LISOVATZGSPQOC-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)F
KXSOGUNMZUFDEV-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)CF
PWFHYGISSIMQKI-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)F
VCARCPYEXCPAJO-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)C(F)(F)F
JLQHDTDAQBOUBB-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
RRJHAIWETICRET-UHFFFAOYSA-N,CCCCC#CC(=O)CF
CDGZCBOPYKCCLD-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)F
XAXKYUYIYBKVHR-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)(F)F
MKMFBYKRUQCCTG-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)(F)C(F)(F)F
