,Lasso 0.00048828125 electrostatic_coef,Lasso 0.000244140625 electrostatic_coef,Lasso 0.0001220703125 electrostatic_coef,Lasso 6.103515625e-05 electrostatic_coef,Ridge 1.9073486328125e-06 electrostatic_coef,ElasticNet 0.0001220703125 0.5 electrostatic_coef,ElasticNet 0.000244140625 0.5 electrostatic_coef,ElasticNet 0.00048828125 0.5 electrostatic_coef,Ridge 1.52587890625e-05 electrostatic_coef,Ridge 3.814697265625e-06 electrostatic_coef,Ridge 9.5367431640625e-07 electrostatic_coef,ElasticNet 6.103515625e-05 0.5 electrostatic_coef,PLS 2 electrostatic_coef,PLS 1 electrostatic_coef,PLS 3 electrostatic_coef,PLS 4 electrostatic_coef,PLS 7 electrostatic_coef,PLS 5 electrostatic_coef,PLS 8 electrostatic_coef,PLS 6 electrostatic_coef,PLS 9 electrostatic_coef,Ridge 3.0517578125e-05 electrostatic_coef,Ridge 7.62939453125e-06 electrostatic_coef,ElasticNet 3.0517578125e-05 0.5 electrostatic_coef,Ridge 0.0001220703125 electrostatic_coef,Ridge 0.00048828125 electrostatic_coef,Ridge 6.103515625e-05 electrostatic_coef,Ridge 0.000244140625 electrostatic_coef,Lasso 3.0517578125e-05 electrostatic_coef,ElasticNet 1.52587890625e-05 0.5 electrostatic_coef,ElasticNet 7.62939453125e-06 0.5 electrostatic_coef,Lasso 1.52587890625e-05 electrostatic_coef,ElasticNet 3.814697265625e-06 0.5 electrostatic_coef,Lasso 7.62939453125e-06 electrostatic_coef,ElasticNet 1.9073486328125e-06 0.5 electrostatic_coef,Lasso 3.814697265625e-06 electrostatic_coef,Lasso 1.9073486328125e-06 electrostatic_coef,Lasso 9.5367431640625e-07 electrostatic_coef,ElasticNet 9.5367431640625e-07 0.5 electrostatic_coef
-6 2 5,0.0,0.0,0.0,0.0,-105.78104716538661,13.422570463891473,12.90369789580495,9.744100328335104,-88.660565332571,-101.91770067894157,-108.29738617386292,10.434388388162944,12.88288774995857,6.485832126340652,23.64320317952897,21.405159788094686,10.749084756318867,18.658879069973786,4.367065329049536,13.051500891106144,-11.281177560436989,-77.77500259054848,-96.40061496373089,2.9292622183681702,-46.02539472882388,-12.050976653013553,-63.25805418245462,-28.204765341939083,-0.0,-1.6886216475588305,-19.368842521923625,-0.0,-38.01475097194474,-0.0,-56.73332014130738,-0.0,0.0,0.0,-72.2821917305967
-6 2 6,0.0,0.0,0.0,0.0,-72.67845967286314,6.928854363570085,7.73441917453449,5.9467342202321305,-50.43427270214231,-66.32621794147666,-77.2287636865601,3.795290887786215,9.872566308937865,4.614028655694764,17.848986806864897,14.211772504322424,1.5718965989292795,10.121151451319285,-0.8564933598521587,2.9140380305511164,-10.25591397440137,-41.86817084440988,-58.68738673795592,0.0,-24.58942275715761,-8.658346136839146,-33.15031922612881,-16.412898249830775,0.0,-0.842631997098491,-10.041689116116283,-0.0,-18.432823616156696,-0.0,-27.459503662479015,-0.0,0.0,-0.0,-36.11128355200628
-6 3 1,0.0,0.0,0.0,0.0,74.66341611290821,2.8193813566026695,0.0,0.0,71.9400874232366,75.89460334958092,73.15874962616806,6.528366147632605,0.28578800091037815,-0.21824216996442555,2.107455833077998,6.2341741730988804,17.046690267475732,11.288937208228372,18.83950653449815,15.051535600506327,22.708619952545426,64.61374909927503,75.48605831915353,11.168350091986627,42.709362102943366,23.25482214999433,54.24683717071802,31.989094194814193,0.0,16.814837943235286,24.89071980559979,0.0,35.137379825170434,0.0,46.68889664766168,0.0,-0.0,-0.0,57.161151735064394
-6 3 2,0.0,0.0,0.0,0.0,-1.4785973203390441,0.42493309241086197,0.0,0.0,13.438309367451788,2.8182049353776804,-4.459810613934682,1.7373771344894695,0.5230621880987208,-0.036262241944772455,1.4408627671576055,3.692887151101378,12.367656356904766,8.645099395185234,8.624869712738734,12.240684117109787,3.2332167899061814,17.352132579741664,8.097914274658638,1.9621625701385692,15.775118917096163,8.740880600315265,18.221171145137063,11.8704620079486,-0.0,2.6628077281112743,5.3714647097266,-0.0,9.798302462652295,-0.0,12.99877802223978,-0.0,-0.0,-0.0,12.61936555645101
-6 3 3,0.0,0.0,0.0,-0.0,-152.1517399890083,0.0,0.0,0.0,-114.63424944828708,-144.33498834076775,-156.71418166557635,0.0,0.5818361045964537,0.435604878918491,0.05358775150903992,0.5856712443893485,7.4040801407783325,2.7639618528603145,4.585385437381992,6.123609337410681,-2.10917214762712,-92.78202035931466,-132.03940728004562,-0.0,-45.44423968979863,-11.814410470669308,-68.68786624350304,-25.89965158849021,-0.0,-3.1649078157882204,-15.869369456132354,-0.0,-34.0823901110286,-0.0,-57.13980210279527,-0.0,-0.0,-0.0,-82.23483003542813
-6 3 4,0.0,0.0,0.0,0.0,-52.928416277809056,0.0,0.0,0.0,-46.09119025073565,-52.295848149318715,-52.969000605173704,0.0,-0.31052285085019693,-0.3329454115844076,-0.046549228253983874,0.3416726142574303,4.79814590457073,1.6003953261959036,3.5556343702234967,3.823631687532202,-1.221891872556567,-39.32938701435252,-50.29198962151979,-0.0,-21.07957535401632,-6.19379387584344,-30.523972999029674,-12.624092383770147,0.0,-0.0,-6.072931661138343,-0.0,-14.295631691401201,-0.0,-23.929552810545186,-0.0,-0.0,-0.0,-33.38535233091547
-6 3 5,-0.0,0.0,-0.0,0.0,-12.288989686976178,-0.0,-0.0,-0.0,-16.01104517071293,-14.302074273744074,-10.534311887001405,-1.0018147034274616,-1.6963081667771007,-1.3125559533518572,-2.2867758453364493,-3.8051331421664307,-7.239244889957575,-5.176526796611968,-8.209164660674174,-6.769023239205467,-10.980369815631894,-14.751620983498974,-15.806633890302527,-2.864953214019562,-10.754091371981295,-8.514518711693716,-12.674988862290618,-9.46681904936191,0.0,-4.276107552686587,-5.693963988426294,0.0,-6.850126496810992,0.0,-8.542799213078005,-0.0,0.0,-0.0,-10.43560492731407
-6 3 6,0.0,0.0,0.0,0.0,-14.375088871839129,0.0,0.0,0.0,-5.287291087750317,-13.308594970322133,-14.546101807892189,0.0,-0.1077393567644487,-0.08682006260134871,-0.0034516798856363703,0.11929294727882478,1.5272887748609623,0.23482362351551878,3.390993107998268,0.6296727629907158,6.162515540379845,1.1475645539473416,-10.427510065209809,0.0,9.146342488431532,6.132098091706033,6.622434750145334,8.521540895186131,0.0,0.4638413023717472,3.1857504965239314,0.0,4.7021201163547115,-0.0,3.2625806816410505,-0.0,-0.0,-0.0,0.0
-5 1 1,-51.73983740700645,-116.40940108576078,-188.38323192942747,-228.14426326612474,-216.26312643282535,-35.147004687735986,-23.2457418523574,-14.209220849216667,-193.58129395163715,-209.15684145267699,-221.65634161814398,-50.996205044053575,-9.144140791628653,-7.075190237274427,-22.511817704389074,-43.095890884141426,-73.08061212815463,-51.51396360346673,-88.98874458064336,-59.72293635582993,-115.27569005118099,-184.7275219920513,-201.36308054530653,-71.45008120349728,-153.99341652233733,-104.20407818595926,-172.2395025099607,-130.30286260698531,-183.2131821601714,-96.28975853496611,-122.53818384640506,-165.539540690349,-148.6060525819791,-183.60154807340896,-168.35048839220818,-208.45423083237006,-222.081915411402,-157.40563349811381,-181.4989722687186
-5 1 2,-35.630437654805405,-40.22887820373178,-46.61146341024361,-58.41396231207427,-83.8238351193294,-35.143723030969205,-25.400974535089205,-16.789881678993652,-87.4199603086735,-84.553579548909,-83.33760321796461,-45.847726255818124,-11.41110043141317,-8.412834150424638,-25.702208428676705,-46.2729569662403,-67.96486539896588,-54.112216445827436,-74.00388502619124,-61.79575388999472,-80.81932669461561,-90.05836364640388,-85.65115026823902,-58.19402586757647,-92.75314308257929,-76.906692197159,-92.69306442387624,-87.48106278206869,-36.83370262935798,-70.96305283326569,-83.07432189173274,-31.378210458276637,-91.67296582333806,-42.565210051855104,-93.4674270775286,-1.5629782787440842,-30.620877400275795,-64.59910193736093,-89.88953807653489
-5 1 3,-0.0,-0.0,-0.0,-0.0,-13.36227359461255,-12.262572270408205,-8.595057078872157,-4.628332018291269,0.14462962855988584,-8.301039341615333,-17.294305548308117,-14.691541309383616,-1.8234520803405274,-2.9373721873832324,-9.602225735782273,-24.77298678508416,-24.82370417693516,-24.883340307726634,-24.621677695782278,-23.582475298736917,-19.234980642953232,1.0959323190625987,-3.2787099267420277,-13.426223837060347,-3.326335266153729,-11.996147637902665,-0.25247098256151673,-7.541167119849185,-0.0,-10.784506057660717,-6.830362731525849,-0.0,-1.3253156976767493,-0.0,-0.0,-55.74010639177855,-84.2841469497829,-101.96665179517717,0.0
-5 1 4,-0.0,-0.0,0.0,28.957258075981038,116.20488856040438,-6.861131174366284,-6.445253802973064,-5.7815179166677435,89.12351151803091,107.19406698779291,123.1643767015537,-4.708953632529053,-8.618748995748524,-9.446109183656537,-6.897913838879596,-15.175463441808066,-7.954949705870864,-17.49372471702567,-1.4893173349215192,-10.68947238990022,5.187441208662369,80.09861989308291,97.74680175444601,-0.0,51.07212964487192,14.955680234592029,67.78231251690605,32.21787884658344,98.83176715739002,6.232992124998901,23.66950333900259,115.90281074782877,43.204482403602086,129.22073269264132,60.88691288031806,86.78123909279661,136.6076990240466,185.47449020281252,75.80678988651707
-5 1 5,0.0,0.0,0.0,0.0,24.856013571079366,10.654797471085068,4.429359051434467,0.0,2.1860766096298194,18.242973591031884,29.531084943712422,16.629666207844814,-3.3156547148819686,-5.9659019611237225,8.698884328088106,20.727140529416854,33.408817490461665,23.43156081897903,35.49291299369228,28.5585622750617,31.704788197378196,-3.7474668087795746,10.25090399903462,20.013134656211516,0.5089276732968285,16.91433153088104,-4.703534901393236,9.259441687350254,0.0,18.495573677735205,12.355894057294798,0.0,2.9238275120855115,0.0,-0.0,0.0,0.0,41.04831085820942,-1.6822831907864684
-5 1 6,42.49192699401626,69.86525700205979,84.08150932675574,168.49914534078025,145.6281931129583,27.047272703737473,19.536331453757843,12.463266341518995,124.24872747325026,139.0937500246606,150.394606627769,35.48810606166838,11.965077690278957,5.581376508656286,24.05459343781088,30.90202824312344,48.28791704516655,36.775831194306775,56.5306566282384,40.30290260440798,65.54000195063449,116.56094369325577,131.62863470082493,44.50078508890376,91.83532457226379,59.54168999185686,106.29407947308009,75.00138547389324,296.235870371837,54.621106604414194,70.70890508063275,326.52337054218617,88.77133329147979,342.83823413677817,103.4544875275822,333.61600516846704,304.5313068025852,167.49656415906247,114.89310688396992
-5 2 1,0.0,0.0,0.0,-0.0,-132.82145288925602,0.21932402161299783,0.0,0.0,-106.6084626853127,-128.15601334845522,-135.22106639887193,0.0,-0.33900230680730276,-0.8790163232882948,1.4479452893128637,3.28836322575655,6.383531678272462,8.977729319700869,-3.8452371707418296,10.621084221415774,-12.681179222949988,-88.70000101941238,-119.79681952980158,-0.0,-46.38958835015988,-13.788595353870415,-67.71806747795614,-27.748089563585324,-0.0,-4.917433632592121,-18.083698733002596,-0.0,-36.911881097499915,-0.0,-59.323235987269996,-21.464659952921583,-23.584710852794796,-0.0,-79.46890324640977
-5 2 2,0.0,0.0,-0.0,-0.0,39.39801993822611,1.5806479458595135,0.0,0.0,8.74145583455138,30.160032402741994,45.88507799993674,1.2433743059360256,1.1596992044222134,-3.758630697876023,4.795661755057526,-1.1143921882337677,7.573964017670965,10.846795663805196,-0.03677424399845917,13.30193119939743,-2.2592104779865183,1.5543727205246567,19.164794259904607,0.0,-0.978303653489912,0.7938395398520254,-1.2288423460982731,-0.029614898922001545,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,31.26215050266708,45.29568353277123,0.0
